13.453624 61.032778	1.91e+03  3.59e+04  3.75e+04	 0.00 9.40	 0.4441 -0.5324 -0.9894	
13.453624 61.032778	2.05e+03  3.57e+04  3.76e+04	 0.00 6.88	 0.7191 -0.7477 -0.9968	
13.453624 61.032778	1.64e+03  3.60e+04  3.76e+04	 0.00 8.30	 0.6388 0.4138 0.9631	
13.453624 61.032778	1.18e+03  3.65e+04  3.76e+04	 0.00 7.71	 0.9687 0.8876 0.9739	
13.453624 61.032778	1.80e+03  3.59e+04  3.76e+04	 0.00 -6.78	 0.9804 0.9318 0.9754	
13.453624 61.032778	7.75e+02  3.69e+04  3.76e+04	 0.00 0.18	 -0.8969 0.8961 -1.0000	
13.453624 61.032778	7.42e+02  3.69e+04  3.76e+04	 0.00 0.67	 -0.6597 0.6655 -1.0000	
13.453624 61.032778	1.50e+03  3.65e+04  3.73e+04	 0.00 -15.17	 -0.0025 -0.3193 0.8832	
13.453624 61.032778	9.60e+02  3.68e+04  3.75e+04	 0.00 -9.17	 -0.4763 -0.1286 0.9277	
13.453624 61.032778	2.04e+03  3.58e+04  3.74e+04	 0.00 10.21	 -0.3087 0.4152 -0.9907	
13.453624 61.032778	3.24e+02  3.73e+04  3.76e+04	 0.00 4.08	 0.2139 0.1728 0.9929	
13.453624 61.032778	1.65e+03  3.61e+04  3.76e+04	 0.00 -7.95	 -0.2340 0.0653 -0.9849	
13.453624 61.032778	7.31e+02  3.69e+04  3.76e+04	 0.00 0.26	 0.4195 -0.4189 -1.0000	
13.453624 61.032778	1.93e+03  3.59e+04  3.75e+04	 0.00 -14.53	 0.3343 -0.3134 -0.8982	
13.453624 61.032778	1.83e+03  3.58e+04  3.76e+04	 0.00 5.72	 0.8990 0.8471 0.9849	
13.453624 61.032778	1.62e+03  3.61e+04  3.76e+04	 0.00 6.87	 0.8696 -0.8893 -0.9876	
13.453624 61.032778	1.13e+03  3.67e+04  3.75e+04	 0.00 8.04	 0.6940 -0.6858 -0.9975	
13.453624 61.032778	1.72e+03  3.63e+04  3.73e+04	 0.00 -15.85	 0.9527 -0.9690 -0.9440	
13.453624 61.032778	1.89e+03  3.58e+04  3.76e+04	 0.00 7.51	 -0.7096 0.5459 -0.9727	
13.453624 61.032778	1.68e+03  3.63e+04  3.73e+04	 0.00 17.84	 0.1570 0.1736 -0.8538	
13.453624 61.032778	1.08e+03  3.67e+04  3.75e+04	 0.00 -9.57	 0.1057 0.0773 0.9962	
13.453624 61.032778	4.25e+02  3.72e+04  3.76e+04	 0.00 2.22	 0.8075 -0.8474 -0.9962	
13.453624 61.032778	1.66e+03  3.62e+04  3.74e+04	 0.00 -12.73	 -0.4436 0.6514 -0.9469	
13.453624 61.032778	1.32e+03  3.67e+04  3.73e+04	 0.00 14.01	 -0.7386 -0.7739 0.9841	
13.453624 61.032778	1.30e+02  3.75e+04  3.76e+04	 0.00 5.46	 -0.6185 0.3516 -0.9356	
13.453624 61.032778	2.11e+03  3.59e+04  3.72e+04	 0.00 -17.02	 0.8012 -0.7730 -0.9353	
13.453624 61.032778	2.01e+03  3.59e+04  3.74e+04	 0.00 17.79	 0.8992 -0.5358 -0.8497	
